ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,TimeStamp,DERAIL
22.28,15.78,45.85015,-0.33,-0.01,-0.02,-87.18,6.99,-5.91,25.03,131.61,-80.50,1466606731.13761,0
22.28,15.78,45.85015,-0.33,-0.01,-0.02,-87.18,6.99,-5.91,25.03,131.61,-80.50,1466606731.407895,0
22.28,15.78,45.85015,-0.33,-0.01,-0.02,-87.18,6.99,-5.91,25.03,131.61,-80.50,1466606731.537846,0
22.28,15.78,45.85015,-0.33,-0.01,-0.02,-87.18,6.99,-5.91,25.03,131.61,-80.50,1466606731.854663,0
22.28,15.78,45.85015,-1.08,0.02,0.14,-66.65,-37.18,-2.26,21.89,90.54,-63.71,1466606731.943257,0
22.28,15.62,45.85015,-1.08,0.02,0.14,-66.65,-37.18,-2.26,21.89,90.54,-63.71,1466606732.164596,0
22.28,15.62,45.85015,-1.08,0.02,0.14,-66.65,-37.18,-2.26,21.89,90.54,-63.71,1466606732.343929,0
22.28,15.62,45.85015,-1.08,0.02,0.14,-66.65,-37.18,-2.26,21.89,90.54,-63.71,1466606732.574629,0
22.28,15.62,45.85015,-1.08,0.02,0.14,-66.65,-37.18,-2.26,21.89,90.54,-63.71,1466606732.774686,0
22.28,15.62,45.85015,-1.17,-0.09,-0.11,-5.56,17.03,-11.17,73.15,69.40,-71.65,1466606732.944454,0
22.28,15.78,45.85015,-1.17,-0.09,-0.11,-5.56,17.03,-11.17,73.15,69.40,-71.65,1466606733.284661,0
22.28,15.78,45.85015,-1.17,-0.09,-0.11,-5.56,17.03,-11.17,73.15,69.40,-71.65,1466606733.414599,0
22.28,15.78,45.85015,-1.17,-0.09,-0.11,-5.56,17.03,-11.17,73.15,69.40,-71.65,1466606733.594597,0
22.28,15.78,45.85015,-1.17,-0.09,-0.11,-5.56,17.03,-11.17,73.15,69.40,-71.65,1466606733.764658,0
22.28,15.78,45.85015,-1.13,-0.02,0.07,-83.20,-1.27,3.14,20.24,58.46,-115.72,1466606734.004545,0
22.28,15.69,45.85015,-1.13,-0.02,0.07,-83.20,-1.27,3.14,20.24,58.46,-115.72,1466606734.314541,0
22.28,15.69,45.85015,-1.13,-0.02,0.07,-83.20,-1.27,3.14,20.24,58.46,-115.72,1466606734.435651,0
22.28,15.69,45.85015,-1.13,-0.02,0.07,-83.20,-1.27,3.14,20.24,58.46,-115.72,1466606734.644528,0
22.28,15.69,45.85015,-1.13,-0.02,0.07,-83.20,-1.27,3.14,20.24,58.46,-115.72,1466606734.824602,0
22.28,15.62,45.85015,-1.13,-0.02,0.07,-83.20,-1.27,3.14,20.24,58.46,-115.72,1466606735.124666,0
22.28,15.62,45.85015,-1.06,-0.03,0.08,-87.27,-22.99,-0.17,24.13,111.08,-147.65,1466606735.194595,0
22.28,15.62,45.85015,-1.06,-0.03,0.08,-87.27,-22.99,-0.17,24.13,111.08,-147.65,1466606735.443858,0
22.28,15.62,45.85015,-1.06,-0.03,0.08,-87.27,-22.99,-0.17,24.13,111.08,-147.65,1466606735.644483,0
22.28,15.62,45.85015,-0.83,0.06,-0.00,-30.93,-3.08,1.21,10.49,131.91,-94.89,1466606735.838425,0
22.28,15.62,45.85015,-0.83,0.06,-0.00,-30.93,-3.08,1.21,10.49,131.91,-94.89,1466606736.054624,0
22.28,15.84,45.85015,-0.83,0.06,-0.00,-30.93,-3.08,1.21,10.49,131.91,-94.89,1466606736.15463,0
22.28,15.84,45.85015,-0.83,0.06,-0.00,-30.93,-3.08,1.21,10.49,131.91,-94.89,1466606736.444338,0
22.28,15.84,45.85015,-0.83,0.06,-0.00,-30.93,-3.08,1.21,10.49,131.91,-94.89,1466606736.614664,0
22.28,15.84,45.85015,-0.80,0.13,0.13,-73.83,-32.60,-7.13,34.33,122.92,-53.07,1466606736.874628,0
22.28,15.84,45.85015,-0.80,0.13,0.13,-73.83,-32.60,-7.13,34.33,122.92,-53.07,1466606736.944647,0
22.28,15.66,45.85015,-0.80,0.13,0.13,-73.83,-32.60,-7.13,34.33,122.92,-53.07,1466606737.184599,0
22.28,15.66,45.85015,-0.80,0.13,0.13,-73.83,-32.60,-7.13,34.33,122.92,-53.07,1466606737.484817,0
22.28,15.66,45.85015,-0.80,0.13,0.13,-73.83,-32.60,-7.13,34.33,122.92,-53.07,1466606737.604922,0
